"_id",total_tags,total_views
Zh4c5IrllBg,23,2552879
8mBHDHIb-kM,35,2544874
BspHjvU11y4,13,2543999
HZzeieUGyA4,19,2539879
8Y4eFnLRIzI,5,2539688
RlSzahonkTk,4,2537478
UbmGPOHJYpA,33,2537214
Sy3ERg7OCWo,49,2536670
PfLCyR6Efvw,57,2524789
SFKPktgfQdI,24,2524744
Ymt4lpzv62g,6,2523395
b4vTZx_AtHk,9,2516401
H-WEhug-up8,10,2514066
6Km34EXxGZ4,18,2510689
Htu3va7yDMg,7,2508936
qc_z4a00cCQ,6,2496894
sHupIDugAD8,30,2482831
xG0HmKgwo0c,32,2481213
rP3UngLFou4,18,2477491
IQYLPEuAClo,26,2464874
1gSu12JpKP8,34,2463668
prmQgSpV3fA,13,2460996
UhZ56rcWwRQ,23,2458345
ckS1F3mJzb0,37,2458004
hYc95vB-nT4,15,2455913
gWV7JIxFcbY,35,2452211
8mCcM-PUmLM,25,2434870
2kpJ4GbVvNc,0.0,2428403
gUWDiXBNohY,14,2419996
zQYarS9LYgk,29,2414311
N9OpxDiCfbM,33,2414100
2kCbFmjEi6A,8,2413851
IAWI6nMQhQI,3,2387108
NHrwcQQ38bA,45,2382933
aCAhbjLKkt4,14,2378309
1sl5KJ69qiA,11,2368985
v9ea5VDQfXg,7,2364433
SlbY1tGARUA,26,2362958
2MiQonPvlVM,37,2361405
"_lu_Hgw60Ns",25,2358886
GWMKelv5Bmw,15,2345227
tTlxjhG7SOI,18,2340970
bTE_EEuVRe0,36,2337779
tr1Loa7r7sY,8,2336280
kjaHhduqS5o,14,2331462
BnANUza_uXQ,0.0,2323244
izyX4qtsVew,8,2318870
p55AlBd8XDU,21,2312478
hu_4yAZVNsU,11,2310736
Zo_mpwmashg,13,2308894
2Nlo2ekTRvI,10,2303131
IMQCrDQWcvQ,19,2301406
wrpeEitIEpA,5,2301015
Z5ze4CUAkE8,4,2295938
PJBmeqpw3DY,9,2295021
csCCdQLqcVY,12,2291800
t9QxlDaI3Y4,24,2290941
QsSxRElRe1I,37,2276396
Xg_4tbLnIOc,7,2274296
5n9xafjynJA,11,2266117
"-kxPDAiuijo",36,2265310
dhFM8akm9a4,32,2260309
E9pIhue2lSU,20,2255825
UEhsFEgsI5U,24,2255796
TQ2uDO5CbYg,14,2255227
gsKjJRSmYio,10,2252559
8b6IQQMRYCA,34,2242830
e1bEWoblGZA,1,2239356
t1v0BgiYgHE,20,2235685
GxYimeaoea0,6,2228345
gbRijjvIeyk,7,2224539
ir0G79oHXMc,8,2216288
mRo6MnXObuE,35,2215553
c47kn_Y4y8A,30,2212468
evhLzq7Gsak,29,2209067
6tiphMs-dCY,25,2208478
wswvNZveNHc,0.0,2201784
"_H1vcldAsP0",34,2200854
3uGIEY7tdg8,35,2199149
2nshBD9EbxE,21,2198783
1zNr8Pf1QkY,31,2198480
R9q5lBy2w1E,36,2194222
r03V9OEJlgg,17,2193629
LAQRtjvtQRo,37,2189861
fupYIggOq38,20,2186681
iIaVdlcDRA0,22,2181378
M0X3jVSVzao,7,2180731
gIsDpBMXbLo,13,2179020
f_lDdj755PA,12,2175530
YJcergNiMDQ,38,2173809
wV8HedOp17k,30,2166914
lERhNXw6FaQ,9,2166880
ve3oQBjcAGI,9,2161978
Pl9oc13p534,36,2161318
PAQjrGGhoUA,25,2160045
X-QSZhh_YWg,25,2151076
M1fKcktiPuk,33,2146828
GEsK9GudV2M,6,2142751
c5_LROaHGtw,17,2142320
1XsKiDXWtyE,13,2133127
yvYeAdcM2Ss,13,2129493
MjdpR-TY6QU,17,2120634
yHHnywiSwIE,53,2119956
yN0O8UaTnRA,28,2096196
h_67XloYXTc,32,2092066
Xo8FPXlI3CU,52,2091614
IDpWeURKkbI,13,2085778
m6qubM54PtE,40,2084432
cJ1zhq3yNBM,19,2082499
D0aAYfRBVik,7,2081899
5nEogChRGE8,36,2080718
ZxD3o-9H1lY,20,2080614
xIZYxqqpjJQ,36,2069643
hcCCe_R8e9U,35,2068116
r5g85U5lJso,13,2065373
zXV4Sgeyr2c,38,2045157
J-7FkW1Cuic,35,2044478
OHOkdEBpwDc,32,2038269
MnK9_fWPT3Y,5,2030890
colIbxVLUrA,23,2022094
hFFn8K2O4po,34,2017888
m4-sL1r9i1I,13,2012383
"-z2EqJTyAiU",15,2008876
"-mZZAvIHMvQ",25,2007659
YFHHGETsxkE,49,2005280
YtKap-E0OGM,25,2004311
8XBLuU_4Qgo,26,1990055
IkV5VpEROW0,24,1984047
HyNJ3UrGk_I,17,1978041
KisKKE6zIk0,13,1968984
kh3yIsFuPRw,13,1967065
7SAisWFutbw,33,1966578
jjNf6SolPvU,27,1963752
Bu2Djx2ejlA,6,1961295
iqsQ0KHImrU,24,1960852
dyBFAX4SDEc,41,1952508
"_t0LX_Of33U",27,1948688
YGXiVHTy0JE,9,1948382
GpEuHHMy-Z8,30,1946547
itE8Cd85-QM,27,1943930
HEVonh8bjC0,8,1941790
7a6irhXRudo,39,1939634
uKxWP56VStM,10,1939400
RP3UsFrDJfY,23,1938197
IKomhXgz6Io,17,1937795
N7HFXgyTya0,33,1928358
x-R19oA1m8w,9,1920092
RL1e5ZyVUkU,40,1919068
cq6wjjN73Q0,6,1915105
7IS-wPfdIG8,13,1911551
lwzfPL-rJqA,25,1911317
j7WlcSwe8Ws,38,1907912
L8IYPnnsYJw,36,1905347
UwItKU4CxMQ,43,1887155
ao7JzzfIqVE,18,1881374
XAzqBDFs418,27,1880789
a8gzChJsvEo,11,1878977
18RqtFuaNe8,22,1877518
RECFTvCXhPk,17,1873725
3v0c6smpHSk,0.0,1871106
Vm_CmfA5gRI,29,1867270
4FBqT80fVKY,30,1860672
54BVvP7zvDQ,41,1856381
bI31WqFDxNs,24,1851372
7KPcfdbVTic,24,1851082
szaJ5aW-LUs,9,1848816
DIU3xPdhCBI,7,1842403
B7AjF4of300,35,1834484
XP32nDUMYS8,18,1832031
BEePFpC9qG8,6,1825063
zTIoErJmsp4,4,1824925
LmOPXhFensg,21,1820239
Ff7wbSwTuEk,0.0,1818053
4KtBBzHWmTI,11,1816550
BYF2tfdD1fA,12,1813786
M-E5wDgptQA,28,1810704
zUofr5WcdSM,34,1809424
E-8e0cqUGTw,18,1808997
"__1SjDrSMik",5,1807024
A5TPOKoE1_M,30,1806199
9yDNAc8YS9c,0.0,1805396
k3uh0MJeypI,24,1802608
xIZPbhq37WQ,78,1798530
nSuregWhlWk,1,1796545
cL5oCP0VIEI,14,1796323
REbjfHF0N0s,0.0,1794588
WeyLEe1T0yo,25,1789569
uRP4nAGMYCY,0.0,1781913
p5N6tFob_Rw,19,1781662
oR_e9y-bka0,11,1781122
9CO6M2HsoIA,6,1780493
3s1rvMFUweQ,36,1776127
Xz3GEsF-VKA,28,1772309
ZOBvRs4btvE,9,1771884
"-5aaJJQFvOg",8,1770509
Ja_GMU7-sjs,13,1767441
XkVwqEdYlNA,23,1765356
yOOiVK31h7g,36,1763271
94k6kEVGZzg,29,1759634
"-43MBOJnVks",29,1758599
Kd1xVG6f2No,15,1755108
nFpEuUY-zQ0,13,1747801
z4dH6hEMuwk,35,1743819
sIbv19R2rfY,16,1739987
kCwMARo94QY,24,1731217
JRAOdRq-1lw,11,1727872
wGxT2tg4It0,4,1717319
JtIY1Naxg0M,21,1709880
CZ7KRUYQyKE,13,1704991
4oYYVrEFWE8,18,1702293
6hhNXHojemc,29,1701922
BFZz8wHL2a4,29,1700526
mCx26FLXWuI,37,1689382
tIWpr3tHzII,17,1688804
QOksZ8VogRw,11,1687541
BZt0qjTWNhw,14,1685609
hSvnepZS26s,31,1684504
yJqsPBWbtjk,32,1684193
tiH07VpwSLY,21,1683838
l3xmc0pzzJI,19,1681425
GKPIae1_LYw,25,1677359
iNf6VErGDLI,9,1677111
QF031DwMffQ,9,1676342
nCWKrEA4FBw,0.0,1674907
qu-biRtYEcU,4,1674208
aRsOBFhNjVM,26,1674134
S3VZxB_iNoA,31,1672605
VtZV_rFnI-4,39,1669936
jpStWV2GHF4,60,1669936
NAirxs9Io4k,16,1659512
EfypiGi3K-I,2,1658884
s12qaVEyW14,12,1652338
vAmnAXNVRrE,5,1650995
caCdf94Blfw,0.0,1650959
6J-D86wfxiE,9,1650492
MNcssFQTO9o,13,1641198
k3zmNrf0Eog,27,1640847
GnevZOMl78I,20,1637463
zVVrfqwA5lQ,18,1630365
HszBf-CJeVE,19,1629213
wjOK-U2GhIs,34,1627330
5qxqo2CQakA,15,1627118
"-l6wrTvMcbY",17,1618827
Bzu4G8uZs-4,7,1617680
iPf_ifCKftc,6,1615785
2vPw8QbzFTo,22,1613530
o31pGcwUmCM,8,1608675
M6LTqtYKDtI,35,1602184
CWAX-tiepMo,44,1597322
tkhbOc-jZ6c,42,1595758
dfeEwt5_jsQ,9,1590689
r17fqELkv7g,12,1586946
KI9e5T8X4DQ,19,1586337
lR-oJvKJyUY,30,1584801
uIzhXFnhURQ,15,1584205
510KQ_LXGww,22,1583680
fTK0hhBiCgA,7,1579758
H78P-eAvWqg,12,1573791
EEIP1YpFXrE,26,1572691
OTHHeIAYfuU,4,1571008
af6L1jBZGYA,36,1567140
24-AhdoN_Nk,26,1564193
FvBcYkY7ZGo,27,1563120
ZKg3jKEbgqs,35,1558578
73_OWzBr8Fo,14,1557498
8l_e6bx8UG8,4,1556912
lYEj9snU838,8,1556796
4cucHc2vef4,25,1553813
Oyf5o1zWMd0,19,1552678
7LNTrcguDaw,11,1551905
chjObfl72xQ,58,1551558
NBOT5jigRy4,19,1549690
rgqU0MbRLDo,6,1546842
VsRot0p7ObY,14,1546831
TDlHElwoKLY,26,1545132
zUelEgXDHa8,12,1540401
0GQmGOju6CE,17,1540207
NKin_i1pcFA,11,1539966
eEDZuFw34YM,17,1538347
gKo7V7nxvqE,18,1532312
"_ckccU8ojRg",22,1527599
nlodY8nMw-A,20,1526415
oRSVrtKph_k,17,1524561
R9YYmoJjBxI,30,1524420
e1YqueG2gtQ,6,1523432
2VggEmXPnGw,27,1518753
1Nu_oGucpDI,5,1516337
oddXT5uaRb8,33,1508950
kGOmPmILndU,0.0,1500067
ING5Ygbqo_Y,8,1499550
TWpt-ze_cYU,5,1498833
ouWuzQb9vNg,36,1497938
DHMBJ2do1XU,35,1496352
IP8k2xkhOdI,40,1492219
OtL1fEEtLaA,22,1486123
av4QVqEMWyk,11,1479645
kCkuuzDOKwE,2,1478168
X1VzzNbfPaM,8,1478117
jb-To6qJcxU,9,1477244
ZHBYGpAlNog,7,1476745
CgjAN_wgmiI,2,1475009
lb0Ymam2Za0,4,1473225
GZeza5xTeuM,0.0,1472296
YKKE-LX5FPE,19,1469966
nkWn5vKCZj4,26,1463583
2ATuTL5i0_c,20,1462803
HtNWc1AIU20,25,1456733
i7FgneNlM14,29,1450762
zCot9TDoA-M,5,1447528
sJWu8sMMh0U,14,1446213
wH-by1ydBTM,9,1444402
m7b8hitvfoE,15,1441725
Fjm81OPZbpU,4,1440858
VZsBRynPXHY,32,1439346
"_1mIPOYZzfo",12,1438540
ixNNLvyCn5Y,25,1437894
fsT5SyBLlIg,7,1431319
jdH2Sy-BlNE,25,1430487
EC5UCCnk59c,15,1426823
II-OP6vdMs8,6,1423550
b_lULj6v804,10,1419843
sZcuF1T4Vxw,15,1419347
TYVD7XzW55I,10,1417314
9S9O2T1B6xE,25,1416396
sun1x0ANt-Y,16,1415969
oaU82_uGTQg,26,1413409
Cd8UxUlqaZ8,32,1408369
4HOxZEdicuk,12,1407724
OKA-3wsJTs4,33,1405825
CmO2143BzYA,31,1404525
bVU-MmJZFFA,10,1402868
CMzzImAolMc,5,1398617
Uv1xscwDtIQ,15,1397537
JFmkRNbDF70,40,1394264
0-VAnh7r-_8,23,1392609
zT7VEhfezn8,49,1391768
OZqsFkJpvj0,10,1388010
c0arVTRwytA,18,1385396
tQR5G3kvfNQ,21,1384644
O02MnrL_wrc,4,1383568
Wzvr_rtI82w,8,1382009
Iiukq_ilT0Y,28,1378098
pDi7cezk9CA,6,1373069
f_jTeuajas0,30,1371079
oqvGFqR2h4w,29,1369908
5R2ZZ-t8XS0,31,1369201
"_KEN-cxmGw8",8,1363409
qaSOyhK3gTM,0.0,1363377
bNcj9iR956M,0.0,1358775
DX5_o-mumvE,11,1356625
FOLQlEh1D20,27,1356534
8KgiaRPxRnQ,25,1354047
pkJtiVCMXVg,37,1352472
LFhT6H6pRWg,26,1348067
137EH-5jNLI,3,1346522
pO481doRObY,39,1343386
m-Q0Ng61bT4,12,1342248
"-mNlASb89Wo",19,1338389
EpW_OEuHNX8,31,1331716
qJKgfOUUrZo,34,1325784
vLVSf_yI_r8,9,1322154
Nw-BMNnr1Ko,35,1315966
FtX7GY_iPok,24,1305358
IX3_Aqji4yE,2,1301467
qpAo_XvCQaQ,63,1301301
61SWGdZ2p2M,29,1296219
GcbsIv3QdFs,0.0,1292991
mbsSCJEP7oo,0.0,1292816
aq-phmpUJ_E,40,1291512
4W_YgNW7gs0,1,1288916
AHwZBYCwxPY,10,1285088
MXzEbAv0QN0,29,1284910
VTVLcK2zybM,23,1284065
dhF3Y7esoWM,56,1283358
nOQxBSp563M,26,1281445
X-5yy4ETxlQ,40,1277694
8kFnLQySIzU,32,1273520
rG7fLWcvv-4,23,1270751
jYuQzAxBVZU,9,1270251
STEUAcTmXTg,30,1262612
hkFYWyy9Jek,26,1261678
iaL3EEWspLo,15,1261570
"_wVB6pfWwnE",10,1257023
UVaeRX9LybU,17,1256322
"_zu53yAoTJE",10,1256086
WyWqEFeKX2E,4,1254170
PFDElc5sfSM,25,1250558
RUCXD3_wW2w,39,1250529
cWGWYAhLuAQ,31,1247687
yOqT0Bk-A_Y,13,1246642
NHEaYbDWyQE,17,1246175
meLOY29qarc,32,1233661
WrcwcMIYpQg,19,1230509
RQm0nKoODo4,32,1230449
K6xwB8Kkce0,4,1230259
2B85lYenaxE,39,1228927
44szOPIixaU,10,1226998
U1MzkfRLveA,42,1226994
ziLWPlVN0MM,35,1224477
qOioqgPyCwE,15,1223231
UWl2fVxb-Mc,11,1219133
8KT1UCsOE74,43,1218654
A_Z3AokMwWI,4,1216539
NMFnVfsNf5Y,8,1215931
PPCDMi5xmmk,30,1210329
GRwmtpr79qE,10,1210049
ozbnTScWups,0.0,1208568
Zz_JEN74evU,4,1207630
dsNNfiA6qjs,52,1203368
LF-1zy8VII4,6,1200905
bFbOHqCpeFs,20,1194803
TUUUh-51t1k,26,1193969
twjTkBN3Q9A,38,1192068
LjNhW2mR1lM,33,1189445
iDXlWTRyxgE,30,1189325
oSumNo-j-oc,33,1188853
eqVHah0f-1c,13,1184870
th2lhZ7VeVk,16,1184223
KFHru5tiDng,27,1182857
AumaWl0TNBo,38,1182775
tJLtDRrimAs,31,1182368
rwYd2kIZxk4,9,1175958
xzpQSINtLkw,5,1173586
eEdPnm-AZ94,31,1172315
kMRe5A215xs,22,1171850
"-N5eucPMTTc",31,1164201
Da2crn5NXc4,31,1162900
XvondF0gfro,10,1162896
8B2esiq24Hg,20,1162609
D3V0aw-ljEg,26,1160731
byGeEw9tRh8,6,1160123
5deYJLWFplc,24,1159979
sECcOTO8Ij4,19,1155926
fS2fsa1fuIw,24,1155420
HjnwaagBigA,5,1154891
AfC2pHj0VZA,17,1153803
4JGWxG-vE24,22,1153104
vht9VHo8r5c,19,1153057
QRyzwPzxpcs,46,1152245
z4bLKt9k5dk,21,1152016
D04ogdPt4EY,40,1151785
7-T08gSQmxk,33,1148340
PCVtE3wRNPg,11,1146812
tfaGleA4qYo,18,1142732
cIriwVhRPVA,5,1141907
d8GHT9nK66Y,16,1140558
OPHbqY9LHCs,0.0,1138583
ElKPnh0Q8pU,14,1138385
p4HrpCPquk4,15,1137918
cVdnrt6HCh0,50,1136925
tw6pCt1yeJE,21,1134566
tAn7wxn2Atk,31,1133283
maAa7J3iEM8,37,1129129
JBw1nwYJESc,30,1123725
fOfIObhGMe0,8,1121265
VM-g_bkFdzo,8,1113267
23ILq4uxd-w,40,1113240
gx3S73InQ04,42,1108692
tml1mo26jmw,9,1105217
SupFJHdlVGc,28,1102522
y4bAULTwAJU,8,1102306
G5V0rsKkMDo,5,1100221
"_4_V7ZGCYDE",32,1098131
7zLzYiw1wdQ,4,1098041
VA7Y_Psp5l4,10,1095787
L_SyKf-ETlY,20,1095765
ObRqWRfC5rA,29,1095311
d3h_uD-5d7A,19,1094075
upIaeqJEA2I,0.0,1092715
rnhlTS8RgUM,4,1092582
J3ue35ago3Y,7,1092165
lYN26wt1lJQ,9,1091470
8gFGhT5GpAs,23,1086201
kr1BBxXXj48,3,1078279
5ELQ6u_5YYM,33,1076928
UHh6kJ-HWYw,34,1075976
YHdOh90kGHQ,8,1073102
zbGSbZXzvqw,38,1071689
P4YJwy_T9pM,18,1071286
p9RLCdyn_40,37,1070142
cosN6ilQ5u0,13,1069666
C59j0Rmucss,7,1067349
fsoyuZDgkxM,0.0,1065613
6zRtrLBg3vk,12,1060809
VhMW87avFIM,15,1058658
DrApVH3afMI,45,1057019
N1MZRowhMtc,17,1056924
ao_CJr7-NR4,29,1054267
676hNIhKO2M,12,1053402
lJFqvRwOiis,35,1051339
mHhZ9jk-DrU,45,1050937
PkRo5l8679g,8,1050017
l7VfDVVxiMM,36,1048317
h0zMjd5ZAJ4,34,1047192
"-jWIDwq44ZI",13,1045948
jOTLVy7kgXA,35,1042921
p5HH2UfZ2wE,24,1036313
QpFcf7uBacI,2,1031633
8h7cnLWQKtM,36,1031470
eeBMQpzoEXQ,25,1031262
zMV51hydg8E,14,1031151
JqA6TZW9-0w,37,1030553
qzt7JvsYIuI,33,1029600
wYQcU5VXde8,11,1026139
0oXu0XfXYYE,21,1020294
ypcmAXSKrLQ,13,1019083
hU_oxkN9wsw,40,1018300
HPc8QMycGno,35,1015382
3XklsSF53pc,40,1014570
oQxKEtoHygY,8,1012986
L9hwGZFPSmw,13,1012972
v4DFeT9z7yY,2,1011961
"-crLmRLgeNE",29,1009304
rWHrWuDnReM,7,1008863
6HZ-nfMfu8o,20,1008837
Ob48twC1yf8,35,1008632
QNNcl2mEHzQ,36,1008315
TOeWI-HClI8,37,1007094
ejlD0Sg-8ig,5,1005215
I5X3vC-XsU0,32,1004309
8pffcngJJq0,2,1002079
Cyf1eXYE9Bw,46,1001459
d7gOtEwaJzw,13,997078
fMbuWa-OdN8,24,995222
icyhX6PjKjM,17,995001
hLljd8pfiFg,2,994928
PcYhtiJneHg,6,993486
k-UAk-kp7q0,33,992666
TVARgV7H4xw,22,992009
hpapqEeb36k,15,991224
bYXM3uz1bjM,11,990904
2dls8iCoQTI,29,988788
G1Ky9-OoWyo,15,988435
7FM_MfpYOLU,27,987735
xNNxGzBfZ2k,38,986267
IPgdIHV_zMo,17,986201
k1cA-Wh3Tc0,33,985989
v0xBdIyNijk,31,982290
oQGA42-U0Ro,21,980256
xSMA4LZESY0,8,979968
eljAjPH6zQI,18,978232
fABSffnIhrk,7,973471
15aTCG3as6Q,21,971601
kZkIDiw0jDU,10,970237
mwgUesU1pz4,29,968539
IC_lnyn2R2Q,20,967640
pwj_SZHqiSc,13,967548
eQVhAN7-IAw,10,965593
akohTFyGu88,37,965376
HjoJqZDjxgI,11,963680
6_DgXvcfhYg,35,962671
dbMtuJ1tZnc,10,962532
gd0bB-5X4o0,14,959841
BR4aMnZMwic,13,959750
SJsvPv5Q_oY,10,959368
IdyXKJ8NcNI,0.0,956440
alRtHXnZMOI,16,954825
gXg2_yExgVY,32,954230
PUcS24GuAog,10,953238
tJFk9dPdxO0,17,952714
90IJanuV_0M,19,949695
7Usr96nwjqI,36,946562
o9zRQijCN5w,19,944726
wxe8weq5RtU,21,944671
GiEuzWc62V4,26,942463
J1QKJxYsZMQ,9,942321
jNStfcyNrOI,31,941709
3p-lyt78cyA,12,940627
H08xgoXkpa8,13,939527
INHVfx05Sy8,27,939212
c84hT_DseRg,44,938244
Mr8fVT_Ds4Q,10,938147
0Np4K_PAfnI,30,936825
v1OhsiZjpww,8,934082
hNsd-m30m2E,13,933797
36DAv_m8Mlw,5,933283
yNOAs3poxMw,32,933253
kP3xrSPYi-0,13,931770
Y99Wj-NStok,0.0,929926
UuGl1BVCr1Q,26,928963
7ej6uL4kjHM,30,923989
iXfHlch1Lso,15,922816
Zlj7SUy4CcQ,6,920330
enq2P7ltPBk,18,919136
1cgK-BIrXes,6,916104
k9PdgjmQcKI,37,913634
idD1C2-ISlo,6,912815
CW_UQL2gm7w,33,911394
EsdjC5dsOTM,32,909308
pvxIoue1Qpw,16,909085
jMf16G4kZUo,30,908717
IiRmtBZu0pM,9,907719
oSS6kGWNEeA,30,906417
NsGrfU5buKc,37,904915
NzrQg6TMd6c,16,898989
Uk44LId1RIc,12,893992
wLWlmJABZOg,6,893890
dHDn26UX4aw,12,893409
d6wJfdfFnYY,34,892247
H95362B0YOg,38,890161
PcuRZ3WACBU,41,884833
o8lSb-UOA3M,29,884786
MmPPxQnaGDY,13,884415
akNs04ef_Co,34,881505
M84oouivF7k,21,880824
N-XXZ01aWvw,9,880154
9r6NI9m_IxM,5,876916
ZlPgrJFMFYY,12,875695
BrlpU99lGzI,22,875306
FHl0nIdbiLA,15,873230
rog8VV2A2bY,7,873113
fHc-O9MBGnw,18,872865
jH2t4Tcl3Pg,9,866181
6h8QgZF5Qu4,28,864189
JhvwFB-NUbA,18,863560
4DQ-2tDzJxw,7,863398
BsfhHKx6ajA,27,861532
"_zhR6d6LDzM",0.0,860499
elmet3x4AeI,35,860160
JSXKDi3gi3g,27,856166
LHUKKrcXfJs,20,854627
QJb9-ri3cLs,38,853875
IORxFXptCWw,9,853834
d1hs-JI_yBE,24,853173
pzPtlmzwajA,5,853030
c_y2xNUu2aU,22,851838
hH-wCe5oAv8,25,851015
3TPY4TKo6uQ,5,846693
JvVYL7s-HMc,18,846012
DlU4ZSU2xzg,29,845441
aCYf-NK3pxQ,11,843579
eNbKd0cABD0,28,842736
WZEFya56qPw,20,842661
DfYRIN3U3SU,2,840784
FIFLT8iTyJk,14,838986
EFNeulNdfRI,15,838640
PoNWU2cox9w,36,838340
6QtjdDiMLVg,4,837247
"_4LsQ_kdLh0",26,832215
nSSXvOidHeg,14,830738
ibI5-k5sin8,39,830143
CXK3OiDgymo,36,827155
WnMv6-XTROY,12,821423
VQhvtVJvcdg,38,820488
KrxDhokzEv4,12,819723
dtER80sOjX4,4,818772
svZScJMh4Pg,7,818174
WxAxIy1DzXE,8,816096
Yo0RvZZz_ds,8,815125
BqxqG8IM-TQ,40,814295
IMwganRtaPM,6,813101
08qd-vsHbaY,1,812144
1cUUfMeOijg,11,811112
GfxNGjfSKRY,6,807683
0O2IAz1E9Ts,22,806361
8I_NkJ8VTEI,0.0,804935
FwzoDS3zL_4,8,804049
WB8ozD7l02w,11,803236
KxywNVLAf5o,34,802483
cIQKKzZtWwQ,7,799725
0nybdPCuvRI,15,798144
wa5eXqjEewE,23,797314
GFMyMxMYDNk,15,795148
XJiCE88hOmM,30,791920
h208HbsyTzs,23,790918
exwdh57hGCI,21,790117
m2i_SLAQPpU,31,789498
m1sdAmSq4vs,24,787814
efNXlVeeLIw,32,787340
iWFgvbf_Zu8,0.0,787002
XAcjj16GMR4,33,786869
dGaX8AuGiuk,25,786787
0gwkMY-mzUQ,3,786404
P6K9Y6FWo74,36,784803
CdE2zc4qsDs,10,782198
BmMuLuG1yW8,12,781858
6mDsa-AqNcQ,35,780934
t6Bi_0q_17Y,8,779273
aXPCtdRxnGY,34,778630
0W86V2KcqiU,23,778276
zUDcGDK_bRw,18,778269
MYnpO03crr8,9,776998
X5DWRXTOUD0,24,776168
hq1ijbMabsM,9,774849
p3r_puQXbJA,40,774817
eqMC2qENv1c,27,774572
TxY10VhmLR4,23,773025
B4WBB8gAwTE,13,772099
14G7Qw5DC9M,36,772049
2AAUadR6Hjw,8,770714
Tp_hNsBjXQA,1,770135
S_1SwS7Jj-Y,23,769705
Sqbv7cCM5AI,9,769315
Hw2e2XS9Wmc,9,769047
LPsRp7uUXUk,10,768222
9pbCuFxRuqs,27,767436
ggpoZyF2lU0,24,767146
pA5NbgdpRpk,13,764775
7uzjz51S--M,15,764771
n1PrGpIekYY,7,762622
"-xxfT301Ii8",17,761744
uaa5x5UwF6Q,0.0,760112
li6f_0x0IGE,17,759853
rplCCSqWXIY,46,754143
XIZmIl9SsXk,44,753170
nX5k7QxYJdQ,40,752731
vHCvmZlC5jQ,4,751858
OXZQ5DfSAAc,20,750287
"-A9rYcBmBFo",14,750136
T-f34TPnngQ,10,749988
F1b5ouja_VI,6,747604
"-GvVeT7pNT8",5,747200
5ZVyvY9dySg,40,747093
aXWfL-1ieuE,50,745912
s2zlBSsumeI,11,745860
i3Cyofu6hLE,11,741934
goR0ki9OUts,30,741729
RrhSJzM8NLE,17,740971
B-t4bU3-lHA,12,740854
Lu7a7zKbJo0,17,740784
Oqca3fl0GEQ,7,739844
yzJtC835sio,38,735486
CHXD9k19q1Y,7,734995
"_YCGFLhrMkk",43,734688
cZ2KJtiNZ0U,16,731272
8HON4AswPVk,18,731007
k2p9gsjcfQY,12,728006
DpSWgZVIfi8,16,727532
jgshHi6XjJ0,19,726260
1qsRU7C_Gp0,0.0,722366
vVoxIgwdppE,35,721890
UwdLlnPaRAU,28,721001
X9VlCV1ZflQ,46,720322
NsJkUfrqLzY,7,719940
qgGooEyeNNc,1,717049
W7oeROkyPgs,0.0,716851
payPzC_QHRw,12,716500
BHloD113J54,13,714737
k_JTFUEp7mw,19,711324
YZrtSdRS3cs,7,708348
Gz8KNxufA_c,2,708233
WLagbArQsuE,1,707605
PdWe5ULGy_s,38,707051
exYLX9xGoyo,56,705232
"-8X32zNup1o",15,704552
yyROtEW9Jdc,10,702494
aaOB-ErYq6Y,14,701322
pykyNOEVqCU,7,701024
I2kAkhboAn8,41,700973
2YVMusIxisY,8,699507
nnrkPRApQg8,28,699217
i-G1hy73Mb8,8,698827
FA2k2U_pEcw,26,698538
FvedKSaHCBQ,34,696357
g4ELX7LyXDw,34,696271
lOT0GOyw2pY,28,695072
WhLvS5GTK3E,10,694643
xmxEuQXTHUU,41,691618
0DpCDxoj_Xg,26,690533
CbCVIrOK2qM,31,690031
YsXK7vGLoTA,13,689695
Ew-3-8itpjc,30,684718
44W9qstI8H8,14,682590
pVypbknP4A8,22,682546
ls31TkGSQGA,0.0,682131
d6YkGejS6IM,0.0,681434
caIFNg_JRL4,27,681088
QgaYsdnOMiM,29,680853
o6XERmXsP-U,9,679104
jj6ibow2tdw,21,678185
Uy5ATBR15yw,4,676464
3RdLd4imW6U,10,676133
DnSO5Uhobvo,7,676095
YR5qurEje5Y,5,675225
mMHT2vdWvpg,38,673099
xq9FgX_mXiE,32,671425
qPpUaeChvuY,19,671419
SDGHRQyZKes,35,669789
VVoePRCvENk,39,669003
XymR5UCxSfA,36,665951
0RxhuBwCwMs,28,665386
Ecd4eA067P0,6,664839
oVruAfu53z4,18,662034
nrB7aqfRzyE,0.0,661738
bye513KciIk,22,661254
QKn9yiLVlMM,13,660849
IIS1M7m9tw8,8,659564
"-Gptp_ui-Sg",10,658805
kdzSkAEFJKA,12,658476
L_Ko2895D2E,0.0,658476
Fh3zmz7Ravw,47,656687
7HIt7pA4WqY,23,656301
nVTNrp1RuEI,7,655459
"_DiGQRaaHvg",22,655028
r63VBOagGAo,32,653114
XspEs1x9cPU,23,652407
rx2qG_YMrDs,9,651446
z0iTGgVhPKE,30,650530
9vDdx1dba6c,8,649105
ZANqw73F9Pw,40,648868
u_OO9taOvG8,17,647098
SQmOaJciI7Q,11,646792
uSDRtVGLcWc,30,646278
wppAQ8uZpfQ,25,644576
ma8te7ywEio,31,644097
DfxhWPvhFCQ,41,642908
rp2I4P6bEYA,23,641465
